Date,Price,Open,High,Low,Vol.,Change %,,,,,
"Dec 10, 2019","3,136.00","3,133.50","3,143.00","3,116.25",1.43M,0.05%,,,,,
"Dec 09, 2019","3,134.50","3,146.50","3,149.50","3,131.25",1.15M,-0.37%,,,,,
"Dec 06, 2019","3,146.00","3,117.75","3,151.00","3,117.00",1.30M,0.91%,,,,,
"Dec 05, 2019","3,117.75","3,111.00","3,124.75","3,103.25",1.32M,0.22%,,,,,
"Dec 04, 2019","3,111.00","3,091.75","3,119.50","3,081.75",1.49M,0.65%,,,,,
"Dec 03, 2019","3,091.00","3,114.25","3,121.75","3,069.50",2.15M,-0.75%,,,,,
"Dec 02, 2019","3,114.25","3,146.25","3,158.00","3,110.25",1.93M,-0.94%,,,,,
"Nov 29, 2019","3,143.75","3,154.75","3,155.00","3,139.50",902.19K,-0.23%,,,,,
"Nov 28, 2019","3,151.12","3,144.62","3,151.62","3,142.00",-,-0.08%,,,,,
"Nov 27, 2019","3,153.75","3,143.75","3,155.00","3,141.75",928.79K,0.32%,,,,,
"Nov 26, 2019","3,143.75","3,131.25","3,145.00","3,128.00",1.07M,0.35%,,,,,
"Nov 25, 2019","3,132.75","3,119.00","3,133.50","3,116.50",947.83K,0.68%,,,,,
"Nov 22, 2019","3,111.50","3,104.00","3,114.50","3,097.75",995.42K,0.24%,,,,,
"Nov 21, 2019","3,104.00","3,097.25","3,114.50","3,091.25",1.43M,-0.16%,,,,,
"Nov 20, 2019","3,109.00","3,116.50","3,118.50","3,090.75",1.69M,-0.30%,,,,,
"Nov 19, 2019","3,118.50","3,121.50","3,132.50","3,112.75",1.20M,-0.10%,,,,,
"Nov 18, 2019","3,121.75","3,119.00","3,127.75","3,111.00",1.03M,0.11%,,,,,
"Nov 15, 2019","3,118.25","3,097.00","3,119.50","3,095.75",1.25M,0.69%,,,,,
"Nov 14, 2019","3,097.00","3,096.25","3,099.75","3,081.75",1.11M,0.05%,,,,,
"Nov 13, 2019","3,095.50","3,091.25","3,097.00","3,075.75",1.25M,0.11%,,,,,
"Nov 12, 2019","3,092.00","3,087.75","3,102.00","3,081.25",1.10M,0.15%,,,,,
"Nov 11, 2019","3,087.50","3,090.50","3,092.25","3,074.50",844.60K,-0.10%,,,,,
"Nov 08, 2019","3,090.50","3,086.25","3,092.50","3,072.50",1.08M,0.15%,,,,,
"Nov 07, 2019","3,086.00","3,077.25","3,097.00","3,070.25",1.35M,0.34%,,,,,
"Nov 06, 2019","3,075.50","3,071.50","3,078.00","3,063.00",1.08M,0.11%,,,,,
"Nov 05, 2019","3,072.00","3,076.75","3,085.75","3,069.75",1.12M,-0.12%,,,,,
"Nov 04, 2019","3,075.75","3,064.75","3,083.75","3,064.75",1.18M,0.41%,,,,,
"Nov 01, 2019","3,063.25","3,036.00","3,065.00","3,033.00",1.28M,0.91%,,,,,
"Oct 31, 2019","3,035.75","3,051.75","3,052.00","3,020.25",1.77M,-0.39%,,,,,
"Oct 30, 2019","3,047.75","3,036.50","3,055.00","3,023.25",1.18M,0.40%,,,,,
"Oct 29, 2019","3,035.75","3,038.25","3,046.25","3,029.50",1.04M,-0.02%,,,,,
"Oct 28, 2019","3,036.25","3,023.00","3,042.75","3,022.75",1.04M,0.53%,,,,,
"Oct 25, 2019","3,020.25","3,003.75","3,026.50","3,000.00",1.10M,0.53%,,,,,
"Oct 24, 2019","3,004.25","3,006.00","3,015.25","2,998.75",1.06M,-0.05%,,,,,
"Oct 23, 2019","3,005.75","2,992.00","3,006.00","2,982.00",1.06M,0.38%,,,,,
"Oct 22, 2019","2,994.50","3,006.50","3,014.25","2,988.25",1.13M,-0.40%,,,,,
"Oct 21, 2019","3,006.50","2,984.75","3,007.50","2,983.75",886.56K,0.61%,,,,,
"Oct 18, 2019","2,988.25","2,997.75","3,001.25","2,975.00",1.34M,-0.33%,,,,,
"Oct 17, 2019","2,998.00","2,992.25","3,008.00","2,985.25",1.12M,0.22%,,,,,
"Oct 16, 2019","2,991.50","2,996.50","2,997.75","2,984.75",1.15M,-0.21%,,,,,
"Oct 15, 2019","2,997.75","2,966.75","3,003.25","2,966.50",1.18M,1.09%,,,,,
"Oct 14, 2019","2,965.50","2,968.00","2,982.50","2,953.75",833.67K,-0.18%,,,,,
"Oct 11, 2019","2,970.75","2,949.00","2,994.00","2,941.75",1.74M,1.01%,,,,,
"Oct 10, 2019","2,941.00","2,920.50","2,954.00","2,881.75",1.58M,0.75%,,,,,
